number,name,status
253,Subtyping Built-in Types,"Standards Track, Final"
254,Making Classes Look More Like Types,"Standards Track, Rejected"
255,Simple Generators,"Standards Track, Final"
256,Docstring Processing System Framework,"Standards Track, Rejected"
257,Docstring Conventions,"Informational, Active"
258,Docutils Design Specification,"Standards Track, Rejected"
259,Omit printing newline after newline,"Standards Track, Rejected"
260,Simplify xrange(),"Standards Track, Final"
261,Support for “wide” Unicode characters,"Standards Track, Final"
262,A Database of Installed Python Packages,"Standards Track, Rejected"
263,Defining Python Source Code Encodings,"Standards Track, Final"
264,Future statements in simulated shells,"Standards Track, Final"
265,Sorting Dictionaries by Value,"Standards Track, Rejected"
266,Optimizing Global Variable/Attribute Access,"Standards Track, Withdrawn"
267,Optimized Access to Module Namespaces,"Standards Track, Deferred"
268,Extended HTTP functionality and WebDAV,"Standards Track, Rejected"
269,Pgen Module for Python,"Standards Track, Deferred"
270,uniq method for list objects,"Standards Track, Rejected"
271,Prefixing sys.path by command line option,"Standards Track, Rejected"
272,API for Block Encryption Algorithms v1.0,"Informational, Final"
273,Import Modules from Zip Archives,"Standards Track, Final"
274,Dict Comprehensions,"Standards Track, Final"
275,Switching on Multiple Values,"Standards Track, Rejected"
276,Simple Iterator for ints,"Standards Track, Rejected"
277,Unicode file name support for Windows NT,"Standards Track, Final"
278,Universal Newline Support,"Standards Track, Final"
279,The enumerate() built-in function,"Standards Track, Final"
280,Optimizing access to globals,"Standards Track, Deferred"
281,Loop Counter Iteration with range and xrange,"Standards Track, Rejected"
282,A Logging System,"Standards Track, Final"
283,Python 2.3 Release Schedule,"Informational, Final"
284,Integer for-loops,"Standards Track, Rejected"
285,Adding a bool type,"Standards Track, Final"
286,Enhanced Argument Tuples,"Standards Track, Deferred"
287,reStructuredText Docstring Format,"Informational, Active"
288,Generators Attributes and Exceptions,"Standards Track, Withdrawn"
289,Generator Expressions,"Standards Track, Final"
290,Code Migration and Modernization,"Informational, Active"
291,Backward Compatibility for the Python 2 Standard Library,"Informational, Final"
292,Simpler String Substitutions,"Standards Track, Final"
293,Codec Error Handling Callbacks,"Standards Track, Final"
294,Type Names in the types Module,"Standards Track, Rejected"
295,Interpretation of multiline string constants,"Standards Track, Rejected"
296,Adding a bytes Object Type,"Standards Track, Withdrawn"
297,Support for System Upgrades,"Standards Track, Rejected"
298,The Locked Buffer Interface,"Standards Track, Withdrawn"
299,Special __main__() function in modules,"Standards Track, Rejected"
301,Package Index and Metadata for Distutils,"Standards Track, Final"
302,New Import Hooks,"Standards Track, Final"
303,Extend divmod() for Multiple Divisors,"Standards Track, Rejected"
304,Controlling Generation of Bytecode Files,"Standards Track, Withdrawn"
305,CSV File API,"Standards Track, Final"
306,How to Change Python’s Grammar,"Informational, Withdrawn"
307,Extensions to the pickle protocol,"Standards Track, Final"
308,Conditional Expressions,"Standards Track, Final"
309,Partial Function Application,"Standards Track, Final"
310,Reliable Acquisition/Release Pairs,"Standards Track, Rejected"
311,Simplified Global Interpreter Lock Acquisition for Extensions,"Standards Track, Final"
312,Simple Implicit Lambda,"Standards Track, Deferred"
313,Adding Roman Numeral Literals to Python,"Standards Track, Rejected"
314,Metadata for Python Software Packages 1.1,"Standards Track, Superseded"
315,Enhanced While Loop,"Standards Track, Rejected"
316,Programming by Contract for Python,"Standards Track, Deferred"
317,Eliminate Implicit Exception Instantiation,"Standards Track, Rejected"
318,Decorators for Functions and Methods,"Standards Track, Final"
319,Python Synchronize/Asynchronize Block,"Standards Track, Rejected"
320,Python 2.4 Release Schedule,"Informational, Final"
321,Date/Time Parsing and Formatting,"Standards Track, Withdrawn"
322,Reverse Iteration,"Standards Track, Final"
323,Copyable Iterators,"Standards Track, Deferred"
324,subprocess - New process module,"Standards Track, Final"
325,Resource-Release Support for Generators,"Standards Track, Rejected"
326,A Case for Top and Bottom Values,"Standards Track, Rejected"
327,Decimal Data Type,"Standards Track, Final"
328,Imports: Multi-Line and Absolute/Relative,"Standards Track, Final"
329,Treating Builtins as Constants in the Standard Library,"Standards Track, Rejected"
330,Python Bytecode Verification,"Standards Track, Rejected"
331,Locale-Independent Float/String Conversions,"Standards Track, Final"
332,Byte vectors and String/Unicode Unification,"Standards Track, Rejected"
333,Python Web Server Gateway Interface v1.0,"Informational, Final"
334,Simple Coroutines via SuspendIteration,"Standards Track, Withdrawn"
335,Overloadable Boolean Operators,"Standards Track, Rejected"
336,Make None Callable,"Standards Track, Rejected"
337,Logging Usage in the Standard Library,"Standards Track, Deferred"
338,Executing modules as scripts,"Standards Track, Final"
339,Design of the CPython Compiler,"Informational, Withdrawn"
340,Anonymous Block Statements,"Standards Track, Rejected"
341,Unifying try-except and try-finally,"Standards Track, Final"
342,Coroutines via Enhanced Generators,"Standards Track, Final"
343,The “with” Statement,"Standards Track, Final"
344,Exception Chaining and Embedded Tracebacks,"Standards Track, Superseded"
345,Metadata for Python Software Packages 1.2,"Standards Track, Superseded"
346,User Defined (“with”) Statements,"Standards Track, Withdrawn"
347,Migrating the Python CVS to Subversion,"Process, Final"
348,Exception Reorganization for Python 3.0,"Standards Track, Rejected"
349,Allow str() to return unicode strings,"Standards Track, Rejected"
350,Codetags,"Informational, Rejected"
351,The freeze protocol,"Standards Track, Rejected"
352,Required Superclass for Exceptions,"Standards Track, Final"
353,Using ssize_t as the index type,"Standards Track, Final"
354,Enumerations in Python,"Standards Track, Superseded"
355,Path - Object oriented filesystem paths,"Standards Track, Rejected"
356,Python 2.5 Release Schedule,"Informational, Final"
357,Allowing Any Object to be Used for Slicing,"Standards Track, Final"
358,The “bytes” Object,"Standards Track, Final"
359,The “make” Statement,"Standards Track, Withdrawn"
360,Externally Maintained Packages,"Process, Final"
361,Python 2.6 and 3.0 Release Schedule,"Informational, Final"
362,Function Signature Object,"Standards Track, Final"
363,Syntax For Dynamic Attribute Access,"Standards Track, Rejected"
364,Transitioning to the Py3K Standard Library,"Standards Track, Withdrawn"
365,Adding the pkg_resources module,"Standards Track, Rejected"
366,Main module explicit relative imports,"Standards Track, Final"
367,New Super,"Standards Track, Superseded"
368,Standard image protocol and class,"Standards Track, Deferred"
369,Post import hooks,"Standards Track, Withdrawn"
370,Per user site-packages directory,"Standards Track, Final"
371,Addition of the multiprocessing package to the standard library,"Standards Track, Final"
372,Adding an ordered dictionary to collections,"Standards Track, Final"
373,Python 2.7 Release Schedule,"Informational, Final"
374,Choosing a distributed VCS for the Python project,"Process, Final"
375,Python 3.1 Release Schedule,"Informational, Final"
376,Database of Installed Python Distributions,"Standards Track, Final"
377,Allow __enter__() methods to skip the statement body,"Standards Track, Rejected"
378,Format Specifier for Thousands Separator,"Standards Track, Final"
379,Adding an Assignment Expression,"Standards Track, Withdrawn"
380,Syntax for Delegating to a Subgenerator,"Standards Track, Final"
381,Mirroring infrastructure for PyPI,"Standards Track, Withdrawn"
382,Namespace Packages,"Standards Track, Rejected"
383,Non-decodable Bytes in System Character Interfaces,"Standards Track, Final"
384,Defining a Stable ABI,"Standards Track, Final"
385,Migrating from Subversion to Mercurial,"Process, Final"
386,Changing the version comparison module in Distutils,"Standards Track, Superseded"
387,Backwards Compatibility Policy,"Process, Active"
389,argparse - New Command Line Parsing Module,"Standards Track, Final"
390,Static metadata for Distutils,"Standards Track, Rejected"
391,Dictionary-Based Configuration For Logging,"Standards Track, Final"
392,Python 3.2 Release Schedule,"Informational, Final"
393,Flexible String Representation,"Standards Track, Final"
394,The “python” Command on Unix-Like Systems,"Informational, Active"
395,Qualified Names for Modules,"Standards Track, Withdrawn"
396,Module Version Numbers,"Informational, Rejected"
397,Python launcher for Windows,"Standards Track, Final"
398,Python 3.3 Release Schedule,"Informational, Final"
399,Pure Python/C Accelerator Module Compatibility Requirements,"Informational, Final"
400,Deprecate codecs.StreamReader and codecs.StreamWriter,"Standards Track, Deferred"
401,BDFL Retirement,"Process, Rejected"
402,Simplified Package Layout and Partitioning,"Standards Track, Rejected"
403,General purpose decorator clause (aka “@in” clause),"Standards Track, Deferred"
404,Python 2.8 Un-release Schedule,"Informational, Final"
405,Python Virtual Environments,"Standards Track, Final"
406,Improved Encapsulation of Import State,"Standards Track, Withdrawn"
407,New release cycle and introducing long-term support versions,"Process, Deferred"
408,Standard library __preview__ package,"Standards Track, Rejected"
409,Suppressing exception context,"Standards Track, Final"
410,Use decimal.Decimal type for timestamps,"Standards Track, Rejected"
411,Provisional packages in the Python standard library,"Informational, Superseded"
412,Key-Sharing Dictionary,"Standards Track, Final"
413,Faster evolution of the Python Standard Library,"Process, Withdrawn"
414,Explicit Unicode Literal for Python 3.3,"Standards Track, Final"
415,Implement context suppression with exception attributes,"Standards Track, Final"
416,Add a frozendict builtin type,"Standards Track, Rejected"
417,Including mock in the Standard Library,"Standards Track, Final"
418,"Add monotonic time, performance counter, and process time functions","Standards Track, Final"
419,Protecting cleanup statements from interruptions,"Standards Track, Deferred"
420,Implicit Namespace Packages,"Standards Track, Final"
421,Adding sys.implementation,"Standards Track, Final"
422,Simpler customisation of class creation,"Standards Track, Withdrawn"
423,Naming conventions and recipes related to packaging,"Informational, Deferred"
424,A method for exposing a length hint,"Standards Track, Final"
425,Compatibility Tags for Built Distributions,"Standards Track, Final"
426,Metadata for Python Software Packages 2.0,"Informational, Withdrawn"
427,The Wheel Binary Package Format 1.0,"Standards Track, Final"
428,The pathlib module – object-oriented filesystem paths,"Standards Track, Final"
429,Python 3.4 Release Schedule,"Informational, Final"
430,Migrating to Python 3 as the default online documentation,"Informational, Final"
431,Time zone support improvements,"Standards Track, Superseded"
432,Restructuring the CPython startup sequence,"Standards Track, Withdrawn"
433,Easier suppression of file descriptor inheritance,"Standards Track, Superseded"
434,IDLE Enhancement Exception for All Branches,"Informational, Active"
435,Adding an Enum type to the Python standard library,"Standards Track, Final"
436,The Argument Clinic DSL,"Standards Track, Final"
437,"A DSL for specifying signatures, annotations and argument converters","Standards Track, Rejected"
438,Transitioning to release-file hosting on PyPI,"Process, Superseded"
439,Inclusion of implicit pip bootstrap in Python installation,"Standards Track, Rejected"
440,Version Identification and Dependency Specification,"Standards Track, Final"
441,Improving Python ZIP Application Support,"Standards Track, Final"
442,Safe object finalization,"Standards Track, Final"
443,Single-dispatch generic functions,"Standards Track, Final"
444,Python Web3 Interface,"Informational, Deferred"
445,Add new APIs to customize Python memory allocators,"Standards Track, Final"
446,Make newly created file descriptors non-inheritable,"Standards Track, Final"
447,Add __getdescriptor__ method to metaclass,"Standards Track, Deferred"
448,Additional Unpacking Generalizations,"Standards Track, Final"
449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,"Process, Final"
450,Adding A Statistics Module To The Standard Library,"Standards Track, Final"
451,A ModuleSpec Type for the Import System,"Standards Track, Final"
452,API for Cryptographic Hash Functions v2.0,"Informational, Final"
453,Explicit bootstrapping of pip in Python installations,"Standards Track, Final"
454,Add a new tracemalloc module to trace Python memory allocations,"Standards Track, Final"
455,Adding a key-transforming dictionary to collections,"Standards Track, Rejected"
456,Secure and interchangeable hash algorithm,"Standards Track, Final"
457,Notation For Positional-Only Parameters,"Informational, Final"
458,Secure PyPI downloads with signed repository metadata,"Standards Track, Accepted"
459,Standard Metadata Extensions for Python Software Packages,"Standards Track, Withdrawn"
460,Add binary interpolation and formatting,"Standards Track, Withdrawn"
461,Adding % formatting to bytes and bytearray,"Standards Track, Final"
462,Core development workflow automation for CPython,"Process, Withdrawn"
463,Exception-catching expressions,"Standards Track, Rejected"
464,Removal of the PyPI Mirror Authenticity API,"Process, Final"
465,A dedicated infix operator for matrix multiplication,"Standards Track, Final"
466,Network Security Enhancements for Python 2.7.x,"Standards Track, Final"
467,Minor API improvements for binary sequences,"Standards Track, Draft"
468,Preserving the order of **kwargs in a function.,"Standards Track, Final"
469,Migration of dict iteration code to Python 3,"Standards Track, Withdrawn"
470,Removing External Hosting Support on PyPI,"Process, Final"
471,os.scandir() function – a better and faster directory iterator,"Standards Track, Final"
472,Support for indexing with keyword arguments,"Standards Track, Rejected"
473,Adding structured data to built-in exceptions,"Standards Track, Rejected"
474,Creating forge.python.org,"Process, Withdrawn"
475,Retry system calls failing with EINTR,"Standards Track, Final"
476,Enabling certificate verification by default for stdlib http clients,"Standards Track, Final"
477,Backport ensurepip (PEP 453) to Python 2.7,"Standards Track, Final"
478,Python 3.5 Release Schedule,"Informational, Final"
479,Change StopIteration handling inside generators,"Standards Track, Final"
480,Surviving a Compromise of PyPI: End-to-end signing of packages,"Standards Track, Draft"
481,"Migrate CPython to Git, Github, and Phabricator","Process, Withdrawn"
482,Literature Overview for Type Hints,"Informational, Final"
483,The Theory of Type Hints,"Informational, Final"
484,Type Hints,"Standards Track, Final"
485,A Function for testing approximate equality,"Standards Track, Final"
486,Make the Python Launcher aware of virtual environments,"Standards Track, Final"
487,Simpler customisation of class creation,"Standards Track, Final"
488,Elimination of PYO files,"Standards Track, Final"
489,Multi-phase extension module initialization,"Standards Track, Final"
490,Chain exceptions at C level,"Standards Track, Rejected"
491,The Wheel Binary Package Format 1.9,"Standards Track, Deferred"
492,Coroutines with async and await syntax,"Standards Track, Final"
493,HTTPS verification migration tools for Python 2.7,"Standards Track, Final"
494,Python 3.6 Release Schedule,"Informational, Final"
495,Local Time Disambiguation,"Standards Track, Final"
496,Environment Markers,"Informational, Rejected"
497,A standard mechanism for backward compatibility,"Process, Rejected"
498,Literal String Interpolation,"Standards Track, Final"
499,python -m foo should also bind ‘foo’ in sys.modules,"Standards Track, Deferred"
500,A protocol for delegating datetime methods to their tzinfo implementations,"Standards Track, Rejected"
501,General purpose template literal strings,"Standards Track, Draft"
502,String Interpolation - Extended Discussion,"Informational, Rejected"
503,Simple Repository API,"Standards Track, Final"
504,Using the System RNG by default,"Standards Track, Withdrawn"
505,None-aware operators,"Standards Track, Deferred"
506,Adding A Secrets Module To The Standard Library,"Standards Track, Final"
507,Migrate CPython to Git and GitLab,"Process, Rejected"
508,Dependency specification for Python Software Packages,"Standards Track, Final"
509,Add a private version to dict,"Standards Track, Superseded"
510,Specialize functions with guards,"Standards Track, Rejected"
511,API for code transformers,"Standards Track, Rejected"
512,Migrating from hg.python.org to GitHub,"Process, Final"
513,A Platform Tag for Portable Linux Built Distributions,"Informational, Superseded"
514,Python registration in the Windows registry,"Informational, Active"
515,Underscores in Numeric Literals,"Standards Track, Final"
516,Build system abstraction for pip/conda etc,"Standards Track, Rejected"
517,A build-system independent format for source trees,"Standards Track, Final"
518,Specifying Minimum Build System Requirements for Python Projects,"Standards Track, Final"
519,Adding a file system path protocol,"Standards Track, Final"
520,Preserving Class Attribute Definition Order,"Standards Track, Final"
521,Managing global context via ‘with’ blocks in generators and coroutines,"Standards Track, Withdrawn"
522,Allow BlockingIOError in security sensitive APIs,"Standards Track, Rejected"
523,Adding a frame evaluation API to CPython,"Standards Track, Final"
524,Make os.urandom() blocking on Linux,"Standards Track, Final"
525,Asynchronous Generators,"Standards Track, Final"
526,Syntax for Variable Annotations,"Standards Track, Final"
527,Removing Un(der)used file types/extensions on PyPI,"Standards Track, Final"
528,Change Windows console encoding to UTF-8,"Standards Track, Final"
529,Change Windows filesystem encoding to UTF-8,"Standards Track, Final"
530,Asynchronous Comprehensions,"Standards Track, Final"
531,Existence checking operators,"Standards Track, Withdrawn"
532,A circuit breaking protocol and binary operators,"Standards Track, Deferred"
533,Deterministic cleanup for iterators,"Standards Track, Deferred"
534,Improved Errors for Missing Standard Library Modules,"Standards Track, Deferred"
535,Rich comparison chaining,"Standards Track, Deferred"
536,Final Grammar for Literal String Interpolation,"Standards Track, Withdrawn"
537,Python 3.7 Release Schedule,"Informational, Final"
538,Coercing the legacy C locale to a UTF-8 based locale,"Standards Track, Final"
539,A New C-API for Thread-Local Storage in CPython,"Standards Track, Final"
540,Add a new UTF-8 Mode,"Standards Track, Final"
541,Package Index Name Retention,"Process, Final"
542,Dot Notation Assignment In Function Header,"Standards Track, Rejected"
543,A Unified TLS API for Python,"Standards Track, Withdrawn"
544,Protocols: Structural subtyping (static duck typing),"Standards Track, Final"
545,Python Documentation Translations,"Process, Final"
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,"Standards Track, Rejected"
547,Running extension modules using the -m option,"Standards Track, Deferred"
548,More Flexible Loop Control,"Standards Track, Rejected"
549,Instance Descriptors,"Standards Track, Rejected"
550,Execution Context,"Standards Track, Withdrawn"
551,Security transparency in the Python runtime,"Informational, Withdrawn"
552,Deterministic pycs,"Standards Track, Final"
553,Built-in breakpoint(),"Standards Track, Final"
554,Multiple Interpreters in the Stdlib,"Standards Track, Superseded"
555,Context-local variables (contextvars),"Standards Track, Withdrawn"
556,Threaded garbage collection,"Standards Track, Deferred"
557,Data Classes,"Standards Track, Final"
558,Defined semantics for locals(),"Standards Track, Withdrawn"
559,Built-in noop(),"Standards Track, Rejected"
560,Core support for typing module and generic types,"Standards Track, Final"
561,Distributing and Packaging Type Information,"Standards Track, Final"
562,Module __getattr__ and __dir__,"Standards Track, Final"
563,Postponed Evaluation of Annotations,"Standards Track, Accepted"
564,Add new time functions with nanosecond resolution,"Standards Track, Final"
565,Show DeprecationWarning in __main__,"Standards Track, Final"
566,Metadata for Python Software Packages 2.1,"Standards Track, Final"
567,Context Variables,"Standards Track, Final"
568,Generator-sensitivity for Context Variables,"Standards Track, Deferred"
569,Python 3.8 Release Schedule,"Informational, Active"
570,Python Positional-Only Parameters,"Standards Track, Final"
571,The manylinux2010 Platform Tag,"Informational, Superseded"
572,Assignment Expressions,"Standards Track, Final"
573,Module State Access from C Extension Methods,"Standards Track, Final"
574,Pickle protocol 5 with out-of-band data,"Standards Track, Final"
575,Unifying function/method classes,"Standards Track, Withdrawn"
576,Rationalize Built-in function classes,"Standards Track, Withdrawn"
577,Augmented Assignment Expressions,"Standards Track, Withdrawn"
578,Python Runtime Audit Hooks,"Standards Track, Final"
579,Refactoring C functions and methods,"Informational, Final"
580,The C call protocol,"Standards Track, Rejected"
581,Using GitHub Issues for CPython,"Process, Final"
582,Python local packages directory,"Standards Track, Rejected"
583,A Concurrency Memory Model for Python,"Informational, Withdrawn"
584,Add Union Operators To dict,"Standards Track, Final"
585,Type Hinting Generics In Standard Collections,"Standards Track, Final"
586,Literal Types,"Standards Track, Final"
587,Python Initialization Configuration,"Standards Track, Final"
588,GitHub Issues Migration Plan,"Informational, Draft"
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,"Standards Track, Final"
590,Vectorcall: a fast calling protocol for CPython,"Standards Track, Accepted"
591,Adding a final qualifier to typing,"Standards Track, Final"
592,Adding “Yank” Support to the Simple API,"Standards Track, Final"
593,Flexible function and variable annotations,"Standards Track, Final"
594,Removing dead batteries from the standard library,"Standards Track, Final"
595,Improving bugs.python.org,"Informational, Withdrawn"
596,Python 3.9 Release Schedule,"Informational, Active"
597,Add optional EncodingWarning,"Standards Track, Final"
598,Introducing incremental feature releases,"Informational, Withdrawn"
599,The manylinux2014 Platform Tag,"Informational, Superseded"
600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,"Standards Track, Final"
601,Forbid return/break/continue breaking out of finally,"Standards Track, Rejected"
602,Annual Release Cycle for Python,"Process, Active"
603,Adding a frozenmap type to collections,"Standards Track, Draft"
604,Allow writing union types as X | Y,"Standards Track, Final"
605,A rolling feature release stream for CPython,"Informational, Rejected"
606,Python Compatibility Version,"Standards Track, Rejected"
607,Reducing CPython’s Feature Delivery Latency,"Informational, Final"
608,Coordinated Python release,"Standards Track, Rejected"
609,Python Packaging Authority (PyPA) Governance,"Process, Active"
610,Recording the Direct URL Origin of installed distributions,"Standards Track, Final"
611,The one million limit,"Standards Track, Withdrawn"
612,Parameter Specification Variables,"Standards Track, Final"
613,Explicit Type Aliases,"Standards Track, Final"
614,Relaxing Grammar Restrictions On Decorators,"Standards Track, Final"
615,Support for the IANA Time Zone Database in the Standard Library,"Standards Track, Final"
616,String methods to remove prefixes and suffixes,"Standards Track, Final"
617,New PEG parser for CPython,"Standards Track, Final"
618,Add Optional Length-Checking To zip,"Standards Track, Final"
619,Python 3.10 Release Schedule,"Informational, Active"
620,Hide implementation details from the C API,"Standards Track, Withdrawn"
621,Storing project metadata in pyproject.toml,"Standards Track, Final"
622,Structural Pattern Matching,"Standards Track, Superseded"
623,Remove wstr from Unicode,"Standards Track, Final"
624,Remove Py_UNICODE encoder APIs,"Standards Track, Final"
625,Filename of a Source Distribution,"Standards Track, Accepted"
626,Precise line numbers for debugging and other tools.,"Standards Track, Final"
627,Recording installed projects,"Standards Track, Final"
628,Add math.tau,"Standards Track, Final"
629,Versioning PyPI’s Simple API,"Standards Track, Final"
630,Isolating Extension Modules,"Informational, Final"
631,Dependency specification in pyproject.toml based on PEP 508,"Standards Track, Superseded"
632,Deprecate distutils module,"Standards Track, Final"
633,Dependency specification in pyproject.toml using an exploded TOML table,"Standards Track, Rejected"
634,Structural Pattern Matching: Specification,"Standards Track, Final"
635,Structural Pattern Matching: Motivation and Rationale,"Informational, Final"
636,Structural Pattern Matching: Tutorial,"Informational, Final"
637,Support for indexing with keyword arguments,"Standards Track, Rejected"
638,Syntactic Macros,"Standards Track, Draft"
639,Improving License Clarity with Better Package Metadata,"Standards Track, Provisional"
640,Unused variable syntax,"Standards Track, Rejected"
641,Using an underscore in the version portion of Python 3.10 compatibility tags,"Standards Track, Rejected"
642,Explicit Pattern Syntax for Structural Pattern Matching,"Standards Track, Rejected"
643,Metadata for Package Source Distributions,"Standards Track, Final"
644,Require OpenSSL 1.1.1 or newer,"Standards Track, Final"
645,Allow writing optional types as x?,"Standards Track, Withdrawn"
646,Variadic Generics,"Standards Track, Final"
647,User-Defined Type Guards,"Standards Track, Final"
648,Extensible customizations of the interpreter at startup,"Standards Track, Rejected"
649,Deferred Evaluation Of Annotations Using Descriptors,"Standards Track, Accepted"
650,Specifying Installer Requirements for Python Projects,"Standards Track, Withdrawn"
651,Robust Stack Overflow Handling,"Standards Track, Rejected"
652,Maintaining the Stable ABI,"Standards Track, Final"
653,Precise Semantics for Pattern Matching,"Standards Track, Draft"
654,Exception Groups and except*,"Standards Track, Final"
655,Marking individual TypedDict items as required or potentially-missing,"Standards Track, Final"
656,Platform Tag for Linux Distributions Using Musl,"Standards Track, Final"
657,Include Fine Grained Error Locations in Tracebacks,"Standards Track, Final"
658,Serve Distribution Metadata in the Simple Repository API,"Standards Track, Accepted"
659,Specializing Adaptive Interpreter,"Informational, Draft"
660,Editable installs for pyproject.toml based builds (wheel based),"Standards Track, Final"
661,Sentinel Values,"Standards Track, Draft"
662,Editable installs via virtual wheels,"Standards Track, Rejected"
663,"Standardizing Enum str(), repr(), and format() behaviors","Informational, Rejected"
664,Python 3.11 Release Schedule,"Informational, Active"
665,A file format to list Python dependencies for reproducibility of an application,"Standards Track, Rejected"
666,Reject Foolish Indentation,"Standards Track, Rejected"
667,Consistent views of namespaces,"Standards Track, Accepted"
668,Marking Python base environments as “externally managed”,"Standards Track, Accepted"
669,Low Impact Monitoring for CPython,"Standards Track, Final"
670,Convert macros to functions in the Python C API,"Standards Track, Final"
671,Syntax for late-bound function argument defaults,"Standards Track, Draft"
672,Unicode-related Security Considerations for Python,"Informational, Active"
673,Self Type,"Standards Track, Final"
674,Disallow using macros as l-values,"Standards Track, Deferred"
675,Arbitrary Literal String Type,"Standards Track, Final"
676,PEP Infrastructure Process,"Process, Active"
677,Callable Type Syntax,"Standards Track, Rejected"
678,Enriching Exceptions with Notes,"Standards Track, Final"
679,Allow parentheses in assert statements,"Standards Track, Draft"
680,tomllib: Support for Parsing TOML in the Standard Library,"Standards Track, Final"
681,Data Class Transforms,"Standards Track, Final"
682,Format Specifier for Signed Zero,"Standards Track, Final"
683,"Immortal Objects, Using a Fixed Refcount","Standards Track, Final"
684,A Per-Interpreter GIL,"Standards Track, Final"
685,Comparison of extra names for optional distribution dependencies,"Standards Track, Accepted"
686,Make UTF-8 mode default,"Standards Track, Accepted"
687,Isolating modules in the standard library,"Standards Track, Accepted"
688,Making the buffer protocol accessible in Python,"Standards Track, Final"
689,Unstable C API tier,"Standards Track, Final"
690,Lazy Imports,"Standards Track, Rejected"
691,JSON-based Simple API for Python Package Indexes,"Standards Track, Accepted"
692,Using TypedDict for more precise **kwargs typing,"Standards Track, Final"
693,Python 3.12 Release Schedule,"Informational, Active"
